Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
SUMATERA UTARA,2015,440955.85,31637.41,13937798.637751952,18876.59,8703.67,624.4651846544275,4241.54,SUMATERA
SUMATERA UTARA,2017,487531.23,34183.58,14262146.62127255,18544.99,9671.48,678.1223231553803,4832.95,SUMATERA
SUMATERA BARAT,2015,140719.47,27080.76,5196289.542834101,182.69,3063.28,589.5129543395807,305.15,SUMATERA
SUMATERA BARAT,2017,155984.36,29312.17,5321487.968990355,89.28,3415.29,641.7922994286093,283.03,SUMATERA
RIAU,2015,448991.96,70769.78,6344402.370616385,969.73,3586.45,565.2935911836818,173.8,SUMATERA
RIAU,2017,470983.51,70740.43,6657911.324542415,1032.83,4069.93,611.2923109981069,353.76,SUMATERA
JAMBI,2015,125037.4,36753.52,3402052.374847362,134.31,1083.79,318.56946354290795,60.37,SUMATERA
JAMBI,2017,136501.71,38833.87,3515016.916933594,124.19,1176.09,334.59013933451826,50.57,SUMATERA
SUMATERA SELATAN,2015,254044.88,31549.3,8052314.31442219,16431.48,4783.02,593.9932065783022,3146.21,SUMATERA
SUMATERA SELATAN,2017,281571.01,34059.71,8266982.0148204435,16955.88,5239.35,633.7681623846859,4494.22,SUMATERA
BENGKULU,2015,38066.01,20302.48,1874943.8492243313,82.87,785.43,418.9085450878618,25.89,SUMATERA
BENGKULU,2017,42073.52,21751.64,1934268.8643247131,80.73,852.84,440.91078325749777,47.2,SUMATERA
LAMPUNG,2015,199536.92,24581.78,8117268.969130795,40.55,3571,439.9262872254418,121.12,SUMATERA
LAMPUNG,2017,220626.1,26614.88,8289577.108745183,40.6,3998.3,482.3285853486963,124.38,SUMATERA
KEP. BANGKA BELITUNG,2015,45962.3,33480.38,1372812.9728515628,939.41,861.52,627.5581721889461,314.56,SUMATERA
KEP. BANGKA BELITUNG,2017,49985.15,34933.52,1430864.968660473,974.12,979.19,684.3343162679315,265.4,SUMATERA
