ref_value,predict_value,error_percent,region,year
300547,197764.74532579738,-34.1983964818157,JAWA,2027
319265,200726.29471515203,-37.12862521255006,JAWA,2028
339231,203809.9310859633,-39.920015834059,JAWA,2029
359968,206962.02852984593,-42.505437002776375,JAWA,2030
384123,210386.28661978588,-45.22944821846495,JAWA,2031
409968,213770.00628554256,-47.856904371672286,JAWA,2032
435072,216753.84174890214,-50.179776738355464,JAWA,2033
464393,220236.61936211673,-52.575379180539606,JAWA,2034
493655,223788.27516528388,-54.66707008633887,JAWA,2035
526341,226873.7654146205,-56.89604925046301,JAWA,2036
560085,229700.31407509116,-58.98831176069862,JAWA,2037
598885,231708.26920808275,-61.310056319980845,JAWA,2038
9253,8962.395987714433,-3.1406464096570468,BALI_NT,2020
11683,9020.76668991705,-22.78724052112428,BALI_NT,2021
12115,9220.012243468453,-23.895895637899688,BALI_NT,2022
12451,9337.817047335966,-25.003477252140666,BALI_NT,2023
12894,9555.432426058547,-25.892411772463568,BALI_NT,2024
13474,9645.86145101675,-28.411299903393573,BALI_NT,2025
14161,10128.819998469216,-28.47383660427077,BALI_NT,2026
14806,10306.663548704795,-30.388602264590066,BALI_NT,2027
15543,10496.589098699695,-32.46741878209036,BALI_NT,2028
16297,10696.808174379672,-34.36332960434637,BALI_NT,2029
17109,10909.693346475893,-36.234184660261306,BALI_NT,2030
18105,11102.570694486989,-38.676770535835466,BALI_NT,2031
19166,11292.545836133486,-41.08032017043992,BALI_NT,2032
20105,11491.134130442166,-42.8443962673854,BALI_NT,2033
21293,11672.329638151521,-45.18231513571821,BALI_NT,2034
22446,11858.664643895121,-47.168027069878285,BALI_NT,2035
23676,12000.162468526047,-49.315076581660556,BALI_NT,2036
24979,12173.440963531839,-51.26529899703015,BALI_NT,2037
26504,12293.57040982584,-53.61616959769907,BALI_NT,2038
13329,11206.736310734193,-15.922152369013478,KALIMANTAN,2020
15921,11273.96166430836,-29.188105870809878,KALIMANTAN,2021
16705,11369.163987354461,-31.94155050970092,KALIMANTAN,2022
19399,11703.791449730295,-39.668068200782024,KALIMANTAN,2023
24370,12277.999473032673,-49.618385420465025,KALIMANTAN,2024
29601,12777.625357124136,-56.83380508386833,KALIMANTAN,2025
35042,13435.26227014967,-61.659544917100426,KALIMANTAN,2026
42519,14016.39264411437,-67.03498990071645,KALIMANTAN,2027
43968,14182.51969815476,-67.74354144342531,KALIMANTAN,2028
45507,14341.260003150746,-68.48559561572782,KALIMANTAN,2029
47065,14497.240375916876,-69.19740704150244,KALIMANTAN,2030
48942,14678.668713314335,-70.00803254195918,KALIMANTAN,2031
50960,14842.589031040885,-70.8740403629496,KALIMANTAN,2032
52868,14996.561226336435,-71.63395394882266,KALIMANTAN,2033
55183,15147.356952798727,-72.55068236087432,KALIMANTAN,2034
57442,15288.797031013142,-73.38394026842181,KALIMANTAN,2035
60024,15417.36774485583,-74.31466122741598,KALIMANTAN,2036
62642,15539.240435696342,-75.19357549935133,KALIMANTAN,2037
65632,15651.226863133743,-76.1530551207738,KALIMANTAN,2038
22221,10983.80958594353,-50.570138220856265,SULAWESI,2020
32796,11783.548079433936,-64.07016685134181,SULAWESI,2021
34358,11884.0079235284,-65.41123486952559,SULAWESI,2022
36525,12026.64645513632,-67.07283653624553,SULAWESI,2023
39633,12196.741332957534,-69.22579332132935,SULAWESI,2024
43224,12449.013443858577,-71.19883989483023,SULAWESI,2025
46148,12434.04998749605,-73.05614547218504,SULAWESI,2026
49818,12660.702746424644,-74.58608786698655,SULAWESI,2027
51490,12866.280261019449,-75.01207950860469,SULAWESI,2028
53290,13115.998303539272,-75.38750552910626,SULAWESI,2029
55184,13382.40383609394,-75.74948565509216,SULAWESI,2030
57463,13613.269602452387,-76.30950419843657,SULAWESI,2031
59961,13901.446603732384,-76.81585263132304,SULAWESI,2032
62425,14174.574973360966,-77.2934321612159,SULAWESI,2033
65397,14482.031172775958,-77.8552056320994,SULAWESI,2034
68446,14776.029176122449,-78.41213631750219,SULAWESI,2035
71899,15035.505362766362,-79.08801880030826,SULAWESI,2036
75580,15275.46108523511,-79.78901682292259,SULAWESI,2037
79906,15490.750317611035,-80.61378329836178,SULAWESI,2038
9798,2540.979707026559,-74.06634305953705,MALUKU_PAPUA,2020
13786,2863.58223688958,-79.22833137320774,MALUKU_PAPUA,2021
15018,3003.4417986369026,-80.00105341166,MALUKU_PAPUA,2022
15788,3108.366927712848,-80.31183856275115,MALUKU_PAPUA,2023
17243,3253.269016702233,-81.13281321868449,MALUKU_PAPUA,2024
18758,3387.378667164121,-81.94168532272033,MALUKU_PAPUA,2025
20342,3354.4868372843403,-83.50955246640281,MALUKU_PAPUA,2026
22547,3471.658388009283,-84.60257068342004,MALUKU_PAPUA,2027
22887,3494.1972073100615,-84.73282995888468,MALUKU_PAPUA,2028
23247,3538.058251513308,-84.78058135882777,MALUKU_PAPUA,2029
23609,3579.6669269010363,-84.83770203354213,MALUKU_PAPUA,2030
24061,3590.2879014996697,-85.07839282864525,MALUKU_PAPUA,2031
24553,3614.760191682336,-85.27772495547453,MALUKU_PAPUA,2032
25000,3635.5919453334436,-85.45763221866622,MALUKU_PAPUA,2033
25570,3655.8775807195307,-85.7024732861966,MALUKU_PAPUA,2034
26114,3679.3341375947057,-85.91049192925364,MALUKU_PAPUA,2035
26747,3694.7839135553186,-86.18617447356594,MALUKU_PAPUA,2036
27382,3702.128070348767,-86.47970173709456,MALUKU_PAPUA,2037
28155,3709.267628464443,-86.825545627901107,MALUKU_PAPUA,2038
